Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
d7934d1c-460d-4580-b14a-273638afa65a,MS Daily Compass Project,7ccc3155-f88f-4033-9e89-6656bb8a8703,jheel

summaryId,activityId,unixTimestampInMs,latitudeInDegree,longitudeInDegree,elevationInMeters,airTemperatureCelcius,heartRate,speedMetersPerSecond,stepsPerMinute,totalDistanceInMeters,timerDurationInMs,clockDurationInMs,movingDurationInMs,powerInWatts,bikeCadenceInRPM,swimCadenceInStrokesPerMinute
23277495850-detail,23277495850,1781666766000,,,,,60,,,,64000,64000,0,,,
23277495850-detail,23277495850,1781666767000,,,,,60,,,,65000,65000,0,,,
23277495850-detail,23277495850,1781666768000,,,,,60,,,,66000,66000,0,,,
23277495850-detail,23277495850,1781666769000,,,,,60,,,,67000,67000,0,,,
23277495850-detail,23277495850,1781666770000,,,,,60,,,,68000,68000,0,,,
23277495850-detail,23277495850,1781666771000,,,,,60,,,,69000,69000,0,,,
23277495850-detail,23277495850,1781666772000,,,,,60,,,,70000,70000,0,,,
23277495850-detail,23277495850,1781666773000,,,,,60,,,,71000,71000,0,,,
23277495850-detail,23277495850,1781666774000,,,,,60,,,,72000,72000,0,,,
23277495850-detail,23277495850,1781666775000,,,,,60,,,,73000,73000,0,,,
23277495850-detail,23277495850,1781666776000,,,,,60,,,,74000,74000,0,,,
23277495850-detail,23277495850,1781666777000,,,,,60,,,,75000,75000,0,,,
23277495850-detail,23277495850,1781666778000,,,,,60,,,,76000,76000,0,,,
23277495850-detail,23277495850,1781666779000,,,,,60,,,,77000,77000,0,,,
23277495850-detail,23277495850,1781666780000,,,,,60,,,,78000,78000,0,,,
23277495850-detail,23277495850,1781666781000,,,,,60,,,,79000,79000,0,,,
23277495850-detail,23277495850,1781666782000,,,,,59,,,,80000,80000,0,,,
23277495850-detail,23277495850,1781666783000,,,,,59,,,,81000,81000,0,,,
23277495850-detail,23277495850,1781666784000,,,,,59,,,,82000,82000,0,,,
23277495850-detail,23277495850,1781666785000,,,,,59,,,,83000,83000,0,,,
23277495850-detail,23277495850,1781666786000,,,,,59,,,,84000,84000,0,,,
23277495850-detail,23277495850,1781666787000,,,,,59,,,,85000,85000,0,,,
23277495850-detail,23277495850,1781666788000,,,,,59,,,,86000,86000,0,,,
