Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
d7934d1c-460d-4580-b14a-273638afa65a,MS Daily Compass Project,7ccc3155-f88f-4033-9e89-6656bb8a8703,jheel

summaryId,activityId,unixTimestampInMs,latitudeInDegree,longitudeInDegree,elevationInMeters,airTemperatureCelcius,heartRate,speedMetersPerSecond,stepsPerMinute,totalDistanceInMeters,timerDurationInMs,clockDurationInMs,movingDurationInMs,powerInWatts,bikeCadenceInRPM,swimCadenceInStrokesPerMinute
23301403906-detail,23301403906,1781839370000,,,,,60,,,,0,0,0,,,
23301403906-detail,23301403906,1781839371000,,,,,61,,,,1000,1000,0,,,
23301403906-detail,23301403906,1781839372000,,,,,61,,,,2000,2000,0,,,
23301403906-detail,23301403906,1781839373000,,,,,62,,,,3000,3000,0,,,
23301403906-detail,23301403906,1781839374000,,,,,63,,,,4000,4000,0,,,
23301403906-detail,23301403906,1781839375000,,,,,64,,,,5000,5000,0,,,
23301403906-detail,23301403906,1781839376000,,,,,65,,,,6000,6000,0,,,
23301403906-detail,23301403906,1781839377000,,,,,66,,,,7000,7000,0,,,
23301403906-detail,23301403906,1781839378000,,,,,66,,,,8000,8000,0,,,
23301403906-detail,23301403906,1781839379000,,,,,65,,,,9000,9000,0,,,
23301403906-detail,23301403906,1781839380000,,,,,65,,,,10000,10000,0,,,
23301403906-detail,23301403906,1781839381000,,,,,65,,,,11000,11000,0,,,
23301403906-detail,23301403906,1781839382000,,,,,66,,,,12000,12000,0,,,
23301403906-detail,23301403906,1781839383000,,,,,66,,,,13000,13000,0,,,
23301403906-detail,23301403906,1781839384000,,,,,67,,,,14000,14000,0,,,
23301403906-detail,23301403906,1781839385000,,,,,69,,,,15000,15000,0,,,
23301403906-detail,23301403906,1781839386000,,,,,68,,,,16000,16000,0,,,
23301403906-detail,23301403906,1781839387000,,,,,68,,,,17000,17000,0,,,
23301403906-detail,23301403906,1781839388000,,,,,69,,,,18000,18000,0,,,
23301403906-detail,23301403906,1781839389000,,,,,69,,,,19000,19000,0,,,
23301403906-detail,23301403906,1781839390000,,,,,70,,,,20000,20000,0,,,
23301403906-detail,23301403906,1781839391000,,,,,71,,,,21000,21000,0,,,
23301403906-detail,23301403906,1781839392000,,,,,72,,,,22000,22000,0,,,
23301403906-detail,23301403906,1781839393000,,,,,72,,,,23000,23000,0,,,
23301403906-detail,23301403906,1781839394000,,,,,72,,,,24000,24000,0,,,
23301403906-detail,23301403906,1781839395000,,,,,72,,,,25000,25000,0,,,
23301403906-detail,23301403906,1781839396000,,,,,72,,,,26000,26000,0,,,
23301403906-detail,23301403906,1781839397000,,,,,71,,,,27000,27000,0,,,
23301403906-detail,23301403906,1781839398000,,,,,70,,,,28000,28000,0,,,
23301403906-detail,23301403906,1781839399000,,,,,70,,,,29000,29000,0,,,
23301403906-detail,23301403906,1781839400000,,,,,69,,,,30000,30000,0,,,
23301403906-detail,23301403906,1781839401000,,,,,68,,,,31000,31000,0,,,
23301403906-detail,23301403906,1781839402000,,,,,68,,,,32000,32000,0,,,
23301403906-detail,23301403906,1781839403000,,,,,67,,,,33000,33000,0,,,
23301403906-detail,23301403906,1781839404000,,,,,67,,,,34000,34000,0,,,
23301403906-detail,23301403906,1781839405000,,,,,66,,,,35000,35000,0,,,
23301403906-detail,23301403906,1781839406000,,,,,65,,,,36000,36000,0,,,
23301403906-detail,23301403906,1781839407000,,,,,65,,,,37000,37000,0,,,
23301403906-detail,23301403906,1781839408000,,,,,65,,,,38000,38000,0,,,
23301403906-detail,23301403906,1781839409000,,,,,65,,,,39000,39000,0,,,
23301403906-detail,23301403906,1781839410000,,,,,65,,,,40000,40000,0,,,
23301403906-detail,23301403906,1781839411000,,,,,66,,,,41000,41000,0,,,
23301403906-detail,23301403906,1781839412000,,,,,66,,,,42000,42000,0,,,
23301403906-detail,23301403906,1781839413000,,,,,66,,,,43000,43000,0,,,
23301403906-detail,23301403906,1781839414000,,,,,67,,,,44000,44000,0,,,
23301403906-detail,23301403906,1781839415000,,,,,67,,,,45000,45000,0,,,
23301403906-detail,23301403906,1781839416000,,,,,67,,,,46000,46000,0,,,
23301403906-detail,23301403906,1781839417000,,,,,67,,,,47000,47000,0,,,
23301403906-detail,23301403906,1781839418000,,,,,66,,,,48000,48000,0,,,
23301403906-detail,23301403906,1781839419000,,,,,66,,,,49000,49000,0,,,
23301403906-detail,23301403906,1781839420000,,,,,66,,,,50000,50000,0,,,
23301403906-detail,23301403906,1781839421000,,,,,64,,,,51000,51000,0,,,
23301403906-detail,23301403906,1781839422000,,,,,63,,,,52000,52000,0,,,
23301403906-detail,23301403906,1781839423000,,,,,62,,,,53000,53000,0,,,
23301403906-detail,23301403906,1781839424000,,,,,62,,,,54000,54000,0,,,
23301403906-detail,23301403906,1781839425000,,,,,62,,,,55000,55000,0,,,
23301403906-detail,23301403906,1781839426000,,,,,62,,,,56000,56000,0,,,
23301403906-detail,23301403906,1781839427000,,,,,62,,,,57000,57000,0,,,
23301403906-detail,23301403906,1781839428000,,,,,62,,,,58000,58000,0,,,
23301403906-detail,23301403906,1781839429000,,,,,61,,,,59000,59000,0,,,
23301403906-detail,23301403906,1781839430000,,,,,61,,,,60000,60000,0,,,
23301403906-detail,23301403906,1781839431000,,,,,60,,,,61000,61000,0,,,
23301403906-detail,23301403906,1781839432000,,,,,60,,,,62000,62000,0,,,
23301403906-detail,23301403906,1781839433000,,,,,59,,,,63000,63000,0,,,
23301403906-detail,23301403906,1781839434000,,,,,59,,,,64000,64000,0,,,
23301403906-detail,23301403906,1781839435000,,,,,59,,,,65000,65000,0,,,
23301403906-detail,23301403906,1781839436000,,,,,58,,,,66000,66000,0,,,
23301403906-detail,23301403906,1781839437000,,,,,58,,,,67000,67000,0,,,
23301403906-detail,23301403906,1781839438000,,,,,58,,,,68000,68000,0,,,
23301403906-detail,23301403906,1781839439000,,,,,59,,,,69000,69000,0,,,
23301403906-detail,23301403906,1781839440000,,,,,59,,,,70000,70000,0,,,
23301403906-detail,23301403906,1781839441000,,,,,59,,,,71000,71000,0,,,
23301403906-detail,23301403906,1781839442000,,,,,59,,,,72000,72000,0,,,
23301403906-detail,23301403906,1781839443000,,,,,59,,,,73000,73000,0,,,
23301403906-detail,23301403906,1781839444000,,,,,59,,,,74000,74000,0,,,
23301403906-detail,23301403906,1781839445000,,,,,59,,,,75000,75000,0,,,
23301403906-detail,23301403906,1781839446000,,,,,59,,,,76000,76000,0,,,
23301403906-detail,23301403906,1781839447000,,,,,59,,,,77000,77000,0,,,
23301403906-detail,23301403906,1781839448000,,,,,59,,,,78000,78000,0,,,
23301403906-detail,23301403906,1781839449000,,,,,59,,,,79000,79000,0,,,
23301403906-detail,23301403906,1781839450000,,,,,58,,,,80000,80000,0,,,
23301403906-detail,23301403906,1781839451000,,,,,58,,,,81000,81000,0,,,
23301403906-detail,23301403906,1781839452000,,,,,58,,,,82000,82000,0,,,
23301403906-detail,23301403906,1781839453000,,,,,58,,,,83000,83000,0,,,
23301403906-detail,23301403906,1781839454000,,,,,59,,,,84000,84000,0,,,
23301403906-detail,23301403906,1781839455000,,,,,59,,,,85000,85000,0,,,
23301403906-detail,23301403906,1781839456000,,,,,59,,,,86000,86000,0,,,
23301403906-detail,23301403906,1781839457000,,,,,59,,,,87000,87000,0,,,
23301403906-detail,23301403906,1781839458000,,,,,59,,,,88000,88000,0,,,
23301403906-detail,23301403906,1781839459000,,,,,59,,,,89000,89000,0,,,
23301403906-detail,23301403906,1781839460000,,,,,59,,,,90000,90000,0,,,
23301403906-detail,23301403906,1781839461000,,,,,59,,,,91000,91000,0,,,
23301403906-detail,23301403906,1781839462000,,,,,59,,,,92000,92000,0,,,
23301403906-detail,23301403906,1781839463000,,,,,59,,,,93000,93000,0,,,
23301403906-detail,23301403906,1781839464000,,,,,59,,,,94000,94000,0,,,
23301403906-detail,23301403906,1781839465000,,,,,58,,,,95000,95000,0,,,
23301403906-detail,23301403906,1781839466000,,,,,57,,,,96000,96000,0,,,
23301403906-detail,23301403906,1781839467000,,,,,56,,,,97000,97000,0,,,
23301403906-detail,23301403906,1781839468000,,,,,55,,,,98000,98000,0,,,
23301403906-detail,23301403906,1781839469000,,,,,55,,,,99000,99000,0,,,
23301403906-detail,23301403906,1781839470000,,,,,55,,,,100000,100000,0,,,
23301403906-detail,23301403906,1781839471000,,,,,56,,,,101000,101000,0,,,
23301403906-detail,23301403906,1781839472000,,,,,56,,,,102000,102000,0,,,
23301403906-detail,23301403906,1781839473000,,,,,56,,,,103000,103000,0,,,
23301403906-detail,23301403906,1781839474000,,,,,56,,,,104000,104000,0,,,
23301403906-detail,23301403906,1781839475000,,,,,56,,,,105000,105000,0,,,
23301403906-detail,23301403906,1781839476000,,,,,56,,,,106000,106000,0,,,
23301403906-detail,23301403906,1781839477000,,,,,57,,,,107000,107000,0,,,
23301403906-detail,23301403906,1781839478000,,,,,57,,,,108000,108000,0,,,
23301403906-detail,23301403906,1781839479000,,,,,57,,,,109000,109000,0,,,
23301403906-detail,23301403906,1781839480000,,,,,57,,,,110000,110000,0,,,
23301403906-detail,23301403906,1781839481000,,,,,57,,,,111000,111000,0,,,
23301403906-detail,23301403906,1781839482000,,,,,57,,,,112000,112000,0,,,
23301403906-detail,23301403906,1781839483000,,,,,57,,,,113000,113000,0,,,
23301403906-detail,23301403906,1781839484000,,,,,57,,,,114000,114000,0,,,
23301403906-detail,23301403906,1781839485000,,,,,57,,,,115000,115000,0,,,
23301403906-detail,23301403906,1781839486000,,,,,57,,,,116000,116000,0,,,
23301403906-detail,23301403906,1781839487000,,,,,57,,,,117000,117000,0,,,
23301403906-detail,23301403906,1781839488000,,,,,57,,,,118000,118000,0,,,
23301403906-detail,23301403906,1781839489000,,,,,57,,,,119000,119000,0,,,
23301403906-detail,23301403906,1781839490000,,,,,56,,,,120000,120000,0,,,
23301403906-detail,23301403906,1781839491000,,,,,56,,,,121000,121000,0,,,
23301403906-detail,23301403906,1781839492000,,,,,56,,,,122000,122000,0,,,
23301403906-detail,23301403906,1781839493000,,,,,56,,,,123000,123000,0,,,
23301403906-detail,23301403906,1781839494000,,,,,55,,,,124000,124000,0,,,
23301403906-detail,23301403906,1781839495000,,,,,55,,,,125000,125000,0,,,
23301403906-detail,23301403906,1781839496000,,,,,54,,,,126000,126000,0,,,
23301403906-detail,23301403906,1781839497000,,,,,54,,,,127000,127000,0,,,
23301403906-detail,23301403906,1781839498000,,,,,55,,,,128000,128000,0,,,
23301403906-detail,23301403906,1781839499000,,,,,55,,,,129000,129000,0,,,
23301403906-detail,23301403906,1781839500000,,,,,56,,,,130000,130000,0,,,
23301403906-detail,23301403906,1781839501000,,,,,58,,,,131000,131000,0,,,
23301403906-detail,23301403906,1781839502000,,,,,60,,,,132000,132000,0,,,
23301403906-detail,23301403906,1781839503000,,,,,61,,,,133000,133000,0,,,
23301403906-detail,23301403906,1781839504000,,,,,61,,,,134000,134000,0,,,
23301403906-detail,23301403906,1781839505000,,,,,61,,,,135000,135000,0,,,
23301403906-detail,23301403906,1781839506000,,,,,61,,,,136000,136000,0,,,
23301403906-detail,23301403906,1781839507000,,,,,61,,,,137000,137000,0,,,
23301403906-detail,23301403906,1781839508000,,,,,61,,,,138000,138000,0,,,
23301403906-detail,23301403906,1781839509000,,,,,60,,,,139000,139000,0,,,
23301403906-detail,23301403906,1781839510000,,,,,60,,,,140000,140000,0,,,
23301403906-detail,23301403906,1781839511000,,,,,60,,,,141000,141000,0,,,
23301403906-detail,23301403906,1781839512000,,,,,60,,,,142000,142000,0,,,
23301403906-detail,23301403906,1781839513000,,,,,60,,,,143000,143000,0,,,
23301403906-detail,23301403906,1781839514000,,,,,60,,,,144000,144000,0,,,
23301403906-detail,23301403906,1781839515000,,,,,61,,,,145000,145000,0,,,
23301403906-detail,23301403906,1781839516000,,,,,61,,,,146000,146000,0,,,
23301403906-detail,23301403906,1781839517000,,,,,62,,,,147000,147000,0,,,
23301403906-detail,23301403906,1781839518000,,,,,62,,,,148000,148000,0,,,
23301403906-detail,23301403906,1781839519000,,,,,63,,,,149000,149000,0,,,
23301403906-detail,23301403906,1781839520000,,,,,63,,,,150000,150000,0,,,
23301403906-detail,23301403906,1781839521000,,,,,63,,,,151000,151000,0,,,
23301403906-detail,23301403906,1781839522000,,,,,62,,,,152000,152000,0,,,
23301403906-detail,23301403906,1781839523000,,,,,62,,,,153000,153000,0,,,
23301403906-detail,23301403906,1781839524000,,,,,62,,,,154000,154000,0,,,
23301403906-detail,23301403906,1781839525000,,,,,62,,,,155000,155000,0,,,
23301403906-detail,23301403906,1781839526000,,,,,62,,,,156000,156000,0,,,
23301403906-detail,23301403906,1781839527000,,,,,62,,,,157000,157000,0,,,
23301403906-detail,23301403906,1781839528000,,,,,62,,,,158000,158000,0,,,
23301403906-detail,23301403906,1781839529000,,,,,61,,,,159000,159000,0,,,
23301403906-detail,23301403906,1781839530000,,,,,60,,,,160000,160000,0,,,
23301403906-detail,23301403906,1781839531000,,,,,60,,,,161000,161000,0,,,
23301403906-detail,23301403906,1781839532000,,,,,60,,,,162000,162000,0,,,
23301403906-detail,23301403906,1781839533000,,,,,60,,,,163000,163000,0,,,
23301403906-detail,23301403906,1781839534000,,,,,59,,,,164000,164000,0,,,
23301403906-detail,23301403906,1781839535000,,,,,59,,,,165000,165000,0,,,
23301403906-detail,23301403906,1781839536000,,,,,59,,,,166000,166000,0,,,
23301403906-detail,23301403906,1781839537000,,,,,59,,,,167000,167000,0,,,
23301403906-detail,23301403906,1781839538000,,,,,59,,,,168000,168000,0,,,
23301403906-detail,23301403906,1781839539000,,,,,59,,,,169000,169000,0,,,
23301403906-detail,23301403906,1781839540000,,,,,59,,,,170000,170000,0,,,
23301403906-detail,23301403906,1781839541000,,,,,60,,,,171000,171000,0,,,
23301403906-detail,23301403906,1781839542000,,,,,60,,,,172000,172000,0,,,
23301403906-detail,23301403906,1781839543000,,,,,61,,,,173000,173000,0,,,
23301403906-detail,23301403906,1781839544000,,,,,62,,,,174000,174000,0,,,
23301403906-detail,23301403906,1781839545000,,,,,64,,,,175000,175000,0,,,
23301403906-detail,23301403906,1781839546000,,,,,64,,,,176000,176000,0,,,
