Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
d7934d1c-460d-4580-b14a-273638afa65a,MS Daily Compass Project,7ccc3155-f88f-4033-9e89-6656bb8a8703,jheel

summaryId,activityId,unixTimestampInMs
23301403906-detail,23301403906,1781839370000
23301404057-detail,23301404057,1781839592000
23301836487-detail,23301836487,1781843376000
23301836487-detail,23301836487,1781843971000
23301836487-detail,23301836487,1781844611000
23301836487-detail,23301836487,1781845324000
23302002514-detail,23302002514,1781846222000
23302002514-detail,23302002514,1781846402000
23302002514-detail,23302002514,1781846582000
23302002514-detail,23302002514,1781846762000
