Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
d7934d1c-460d-4580-b14a-273638afa65a,MS Daily Compass Project,7ccc3155-f88f-4033-9e89-6656bb8a8703,jheel

summaryId,activityId,unixTimestampInMs
23229338134-detail,23229338134,1781324732000
23229379422-detail,23229379422,1781325181000
23229675804-detail,23229675804,1781327807000
23229675804-detail,23229675804,1781328416000
23229675804-detail,23229675804,1781329058000
23229675804-detail,23229675804,1781329718000
23229737105-detail,23229737105,1781330069000
23229780215-detail,23229780215,1781330767000
23229780215-detail,23229780215,1781330832000
23229780215-detail,23229780215,1781330862000
23229780215-detail,23229780215,1781330872000
23229780215-detail,23229780215,1781330902000
23229780215-detail,23229780215,1781330912000
23229780215-detail,23229780215,1781330942000
23229780215-detail,23229780215,1781331062000
23229780215-detail,23229780215,1781331092000
23229780215-detail,23229780215,1781331102000
23229780215-detail,23229780215,1781331132000
23229780215-detail,23229780215,1781331142000
23229780215-detail,23229780215,1781331172000
23229813432-detail,23229813432,1781331221000
