Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
d7934d1c-460d-4580-b14a-273638afa65a,MS Daily Compass Project,7ccc3155-f88f-4033-9e89-6656bb8a8703,jheel

summaryId,activityId,unixTimestampInMs
23264462118-detail,23264462118,1781578388000
23264462247-detail,23264462247,1781578765000
23265076933-detail,23265076933,1781583674000
23265076933-detail,23265076933,1781584271000
23265076933-detail,23265076933,1781584920000
23265076933-detail,23265076933,1781585569000
23265076933-detail,23265076933,1781586266000
23265076933-detail,23265076933,1781587007000
23265210321-detail,23265210321,1781587812000
23265210321-detail,23265210321,1781587870000
23265210321-detail,23265210321,1781587900000
23265210321-detail,23265210321,1781587910000
23265210321-detail,23265210321,1781587940000
23265210321-detail,23265210321,1781587950000
23265210321-detail,23265210321,1781587980000
23265210321-detail,23265210321,1781587990000
23265210321-detail,23265210321,1781588020000
23265210321-detail,23265210321,1781588140000
23265210321-detail,23265210321,1781588170000
23265210321-detail,23265210321,1781588180000
23265210321-detail,23265210321,1781588210000
23265210321-detail,23265210321,1781588220000
23265210321-detail,23265210321,1781588250000
23265210321-detail,23265210321,1781588260000
23265210321-detail,23265210321,1781588290000
