Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
d7934d1c-460d-4580-b14a-273638afa65a,MS Daily Compass Project,7ccc3155-f88f-4033-9e89-6656bb8a8703,jheel

summaryId,activityId,unixTimestampInMs
23289844100-detail,23289844100,1781753599000
23289886785-detail,23289886785,1781753867000
23290172214-detail,23290172214,1781757509000
23290172214-detail,23290172214,1781757542000
23290172214-detail,23290172214,1781757572000
23290172214-detail,23290172214,1781757582000
23290172214-detail,23290172214,1781757612000
23290172214-detail,23290172214,1781757622000
23290172214-detail,23290172214,1781757652000
23290172214-detail,23290172214,1781757662000
23290172214-detail,23290172214,1781757692000
23290172214-detail,23290172214,1781757702000
23290172214-detail,23290172214,1781757732000
23290172214-detail,23290172214,1781757742000
23290172214-detail,23290172214,1781757772000
23290172214-detail,23290172214,1781757892000
23290172214-detail,23290172214,1781757922000
23290172214-detail,23290172214,1781757932000
23290172214-detail,23290172214,1781757962000
23290172214-detail,23290172214,1781757972000
23290172214-detail,23290172214,1781758002000
23290172214-detail,23290172214,1781758012000
23290172214-detail,23290172214,1781758042000
23290172214-detail,23290172214,1781758052000
23290172214-detail,23290172214,1781758082000
23290172214-detail,23290172214,1781758092000
23290172214-detail,23290172214,1781758123000
23290238978-detail,23290238978,1781758236000
