Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
d7934d1c-460d-4580-b14a-273638afa65a,MS Daily Compass Project,7ccc3155-f88f-4033-9e89-6656bb8a8703,jheel

sleepSummaryId,timezoneOffsetInMs,unixTimestampInMs,isoDate,breathsPerMinute
x4b803d3-6a2c7530-6108,10800000,1781302140000,2026-06-13T01:09:00.000+03:00,13.79
x4b803d3-6a2c7530-6108,10800000,1781302200000,2026-06-13T01:10:00.000+03:00,13.28
x4b803d3-6a2c7530-6108,10800000,1781302260000,2026-06-13T01:11:00.000+03:00,13
x4b803d3-6a2c7530-6108,10800000,1781302320000,2026-06-13T01:12:00.000+03:00,12.87
x4b803d3-6a2c7530-6108,10800000,1781302380000,2026-06-13T01:13:00.000+03:00,13.39
x4b803d3-6a2c7530-6108,10800000,1781302440000,2026-06-13T01:14:00.000+03:00,14.31
x4b803d3-6a2c7530-6108,10800000,1781302500000,2026-06-13T01:15:00.000+03:00,13.91
x4b803d3-6a2c7530-6108,10800000,1781302560000,2026-06-13T01:16:00.000+03:00,13.66
x4b803d3-6a2c7530-6108,10800000,1781302620000,2026-06-13T01:17:00.000+03:00,14.07
x4b803d3-6a2c7530-6108,10800000,1781302680000,2026-06-13T01:18:00.000+03:00,13.44
x4b803d3-6a2c7530-6108,10800000,1781302740000,2026-06-13T01:19:00.000+03:00,13.03
x4b803d3-6a2c7530-6108,10800000,1781302800000,2026-06-13T01:20:00.000+03:00,13.23
x4b803d3-6a2c7530-6108,10800000,1781302860000,2026-06-13T01:21:00.000+03:00,13.12
x4b803d3-6a2c7530-6108,10800000,1781302920000,2026-06-13T01:22:00.000+03:00,12.69
x4b803d3-6a2c7530-6108,10800000,1781302980000,2026-06-13T01:23:00.000+03:00,12.83
x4b803d3-6a2c7530-6108,10800000,1781303040000,2026-06-13T01:24:00.000+03:00,12.08
x4b803d3-6a2c7530-6108,10800000,1781303100000,2026-06-13T01:25:00.000+03:00,12.45
x4b803d3-6a2c7530-6108,10800000,1781303160000,2026-06-13T01:26:00.000+03:00,12.96
x4b803d3-6a2c7530-6108,10800000,1781303220000,2026-06-13T01:27:00.000+03:00,12.73
x4b803d3-6a2c7530-6108,10800000,1781303280000,2026-06-13T01:28:00.000+03:00,13.13
x4b803d3-6a2c7530-6108,10800000,1781303340000,2026-06-13T01:29:00.000+03:00,13.56
x4b803d3-6a2c7530-6108,10800000,1781303400000,2026-06-13T01:30:00.000+03:00,13.07
x4b803d3-6a2c7530-6108,10800000,1781303460000,2026-06-13T01:31:00.000+03:00,12.58
x4b803d3-6a2c7530-6108,10800000,1781303520000,2026-06-13T01:32:00.000+03:00,12.84
x4b803d3-6a2c7530-6108,10800000,1781303580000,2026-06-13T01:33:00.000+03:00,12
x4b803d3-6a2c7530-6108,10800000,1781303640000,2026-06-13T01:34:00.000+03:00,12.65
x4b803d3-6a2c7530-6108,10800000,1781303700000,2026-06-13T01:35:00.000+03:00,13.21
x4b803d3-6a2c7530-6108,10800000,1781303760000,2026-06-13T01:36:00.000+03:00,13.47
x4b803d3-6a2c7530-6108,10800000,1781303820000,2026-06-13T01:37:00.000+03:00,13.29
x4b803d3-6a2c7530-6108,10800000,1781303880000,2026-06-13T01:38:00.000+03:00,13.1
x4b803d3-6a2c7530-6108,10800000,1781303940000,2026-06-13T01:39:00.000+03:00,13.66
x4b803d3-6a2c7530-6108,10800000,1781304000000,2026-06-13T01:40:00.000+03:00,13.31
x4b803d3-6a2c7530-6108,10800000,1781304060000,2026-06-13T01:41:00.000+03:00,13.06
x4b803d3-6a2c7530-6108,10800000,1781304120000,2026-06-13T01:42:00.000+03:00,12.71
x4b803d3-6a2c7530-6108,10800000,1781304180000,2026-06-13T01:43:00.000+03:00,13
x4b803d3-6a2c7530-6108,10800000,1781304240000,2026-06-13T01:44:00.000+03:00,13.24
x4b803d3-6a2c7530-6108,10800000,1781304300000,2026-06-13T01:45:00.000+03:00,13.31
x4b803d3-6a2c7530-6108,10800000,1781304360000,2026-06-13T01:46:00.000+03:00,13.22
x4b803d3-6a2c7530-6108,10800000,1781304420000,2026-06-13T01:47:00.000+03:00,12.59
x4b803d3-6a2c7530-6108,10800000,1781304480000,2026-06-13T01:48:00.000+03:00,12.25
x4b803d3-6a2c7530-6108,10800000,1781304540000,2026-06-13T01:49:00.000+03:00,13.31
x4b803d3-6a2c7530-6108,10800000,1781304600000,2026-06-13T01:50:00.000+03:00,13.82
x4b803d3-6a2c7530-6108,10800000,1781304660000,2026-06-13T01:51:00.000+03:00,13.45
x4b803d3-6a2c7530-6108,10800000,1781304720000,2026-06-13T01:52:00.000+03:00,13.87
x4b803d3-6a2c7530-6108,10800000,1781304780000,2026-06-13T01:53:00.000+03:00,12.69
x4b803d3-6a2c7530-6108,10800000,1781304840000,2026-06-13T01:54:00.000+03:00,12.43
x4b803d3-6a2c7530-6108,10800000,1781304900000,2026-06-13T01:55:00.000+03:00,13.02
