Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
d7934d1c-460d-4580-b14a-273638afa65a,MS Daily Compass Project,7ccc3155-f88f-4033-9e89-6656bb8a8703,jheel

timezoneOffsetInMs,unixTimestampInMs,isoDate,stressLevel,bodyBattery
10800000,1780606800000,2026-06-05T00:00:00.000+03:00,40,5
10800000,1780606980000,2026-06-05T00:03:00.000+03:00,45,5
10800000,1780607160000,2026-06-05T00:06:00.000+03:00,50,5
10800000,1780607340000,2026-06-05T00:09:00.000+03:00,51,5
10800000,1780607520000,2026-06-05T00:12:00.000+03:00,52,5
10800000,1780607700000,2026-06-05T00:15:00.000+03:00,51,5
10800000,1780607880000,2026-06-05T00:18:00.000+03:00,53,5
10800000,1780608060000,2026-06-05T00:21:00.000+03:00,53,5
10800000,1780608240000,2026-06-05T00:24:00.000+03:00,57,5
10800000,1780608420000,2026-06-05T00:27:00.000+03:00,73,5
10800000,1780608600000,2026-06-05T00:30:00.000+03:00,67,5
10800000,1780608780000,2026-06-05T00:33:00.000+03:00,65,5
10800000,1780608960000,2026-06-05T00:36:00.000+03:00,66,5
10800000,1780609140000,2026-06-05T00:39:00.000+03:00,67,5
10800000,1780609320000,2026-06-05T00:42:00.000+03:00,63,5
10800000,1780609500000,2026-06-05T00:45:00.000+03:00,65,5
10800000,1780609680000,2026-06-05T00:48:00.000+03:00,40,5
10800000,1780609860000,2026-06-05T00:51:00.000+03:00,45,5
10800000,1780610040000,2026-06-05T00:54:00.000+03:00,43,5
10800000,1780610220000,2026-06-05T00:57:00.000+03:00,38,5
10800000,1780610400000,2026-06-05T01:00:00.000+03:00,38,5
10800000,1780610580000,2026-06-05T01:03:00.000+03:00,38,5
10800000,1780610760000,2026-06-05T01:06:00.000+03:00,34,5
10800000,1780610940000,2026-06-05T01:09:00.000+03:00,31,5
10800000,1780611120000,2026-06-05T01:12:00.000+03:00,33,5
10800000,1780611300000,2026-06-05T01:15:00.000+03:00,36,5
10800000,1780611480000,2026-06-05T01:18:00.000+03:00,38,5
10800000,1780611660000,2026-06-05T01:21:00.000+03:00,37,5
10800000,1780611840000,2026-06-05T01:24:00.000+03:00,39,5
10800000,1780612020000,2026-06-05T01:27:00.000+03:00,41,5
10800000,1780612200000,2026-06-05T01:30:00.000+03:00,39,5
10800000,1780612380000,2026-06-05T01:33:00.000+03:00,37,5
