Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
d7934d1c-460d-4580-b14a-273638afa65a,MS Daily Compass Project,7ccc3155-f88f-4033-9e89-6656bb8a8703,jheel

timezoneOffsetInMs,unixTimestampInMs,isoDate,stressLevel,bodyBattery
10800000,1781298000000,2026-06-13T00:00:00.000+03:00,27,10
10800000,1781298180000,2026-06-13T00:03:00.000+03:00,32,10
10800000,1781298360000,2026-06-13T00:06:00.000+03:00,34,10
10800000,1781298540000,2026-06-13T00:09:00.000+03:00,31,10
10800000,1781298720000,2026-06-13T00:12:00.000+03:00,30,10
10800000,1781298900000,2026-06-13T00:15:00.000+03:00,33,10
10800000,1781299080000,2026-06-13T00:18:00.000+03:00,31,10
10800000,1781299260000,2026-06-13T00:21:00.000+03:00,25,10
10800000,1781299440000,2026-06-13T00:24:00.000+03:00,25,10
10800000,1781299620000,2026-06-13T00:27:00.000+03:00,22,10
10800000,1781299800000,2026-06-13T00:30:00.000+03:00,21,10
10800000,1781299980000,2026-06-13T00:33:00.000+03:00,21,10
10800000,1781300160000,2026-06-13T00:36:00.000+03:00,23,11
10800000,1781300340000,2026-06-13T00:39:00.000+03:00,22,11
10800000,1781300520000,2026-06-13T00:42:00.000+03:00,22,11
10800000,1781300700000,2026-06-13T00:45:00.000+03:00,25,12
10800000,1781300880000,2026-06-13T00:48:00.000+03:00,24,12
10800000,1781301060000,2026-06-13T00:51:00.000+03:00,28,12
10800000,1781301240000,2026-06-13T00:54:00.000+03:00,33,12
10800000,1781301420000,2026-06-13T00:57:00.000+03:00,25,12
10800000,1781301600000,2026-06-13T01:00:00.000+03:00,34,12
10800000,1781301780000,2026-06-13T01:03:00.000+03:00,31,12
10800000,1781301960000,2026-06-13T01:06:00.000+03:00,34,12
10800000,1781302140000,2026-06-13T01:09:00.000+03:00,33,12
10800000,1781302320000,2026-06-13T01:12:00.000+03:00,34,12
10800000,1781302500000,2026-06-13T01:15:00.000+03:00,25,12
10800000,1781302680000,2026-06-13T01:18:00.000+03:00,31,12
10800000,1781302860000,2026-06-13T01:21:00.000+03:00,31,13
10800000,1781303040000,2026-06-13T01:24:00.000+03:00,32,13
10800000,1781303220000,2026-06-13T01:27:00.000+03:00,32,13
10800000,1781303400000,2026-06-13T01:30:00.000+03:00,24,13
10800000,1781303580000,2026-06-13T01:33:00.000+03:00,25,14
10800000,1781303760000,2026-06-13T01:36:00.000+03:00,28,14
10800000,1781303940000,2026-06-13T01:39:00.000+03:00,25,14
10800000,1781304120000,2026-06-13T01:42:00.000+03:00,24,14
10800000,1781304300000,2026-06-13T01:45:00.000+03:00,25,14
10800000,1781304480000,2026-06-13T01:48:00.000+03:00,24,15
10800000,1781304660000,2026-06-13T01:51:00.000+03:00,23,16
10800000,1781304840000,2026-06-13T01:54:00.000+03:00,21,16
10800000,1781305020000,2026-06-13T01:57:00.000+03:00,26,16
10800000,1781305200000,2026-06-13T02:00:00.000+03:00,27,17
10800000,1781305380000,2026-06-13T02:03:00.000+03:00,25,17
10800000,1781305560000,2026-06-13T02:06:00.000+03:00,29,18
10800000,1781305740000,2026-06-13T02:09:00.000+03:00,31,18
10800000,1781305920000,2026-06-13T02:12:00.000+03:00,33,18
10800000,1781306100000,2026-06-13T02:15:00.000+03:00,30,19
10800000,1781306280000,2026-06-13T02:18:00.000+03:00,33,19
10800000,1781306460000,2026-06-13T02:21:00.000+03:00,28,20
10800000,1781306640000,2026-06-13T02:24:00.000+03:00,28,20
10800000,1781306820000,2026-06-13T02:27:00.000+03:00,28,21
10800000,1781307000000,2026-06-13T02:30:00.000+03:00,28,21
10800000,1781307180000,2026-06-13T02:33:00.000+03:00,23,21
10800000,1781307360000,2026-06-13T02:36:00.000+03:00,26,22
10800000,1781307540000,2026-06-13T02:39:00.000+03:00,26,22
10800000,1781307720000,2026-06-13T02:42:00.000+03:00,18,23
10800000,1781307900000,2026-06-13T02:45:00.000+03:00,20,23
10800000,1781308080000,2026-06-13T02:48:00.000+03:00,24,25
10800000,1781308260000,2026-06-13T02:51:00.000+03:00,25,25
10800000,1781308440000,2026-06-13T02:54:00.000+03:00,59,25
10800000,1781308620000,2026-06-13T02:57:00.000+03:00,23,25
10800000,1781308800000,2026-06-13T03:00:00.000+03:00,20,25
10800000,1781308980000,2026-06-13T03:03:00.000+03:00,17,25
10800000,1781309160000,2026-06-13T03:06:00.000+03:00,15,25
10800000,1781309340000,2026-06-13T03:09:00.000+03:00,20,25
10800000,1781309520000,2026-06-13T03:12:00.000+03:00,16,26
10800000,1781309700000,2026-06-13T03:15:00.000+03:00,21,26
10800000,1781309880000,2026-06-13T03:18:00.000+03:00,21,27
10800000,1781310060000,2026-06-13T03:21:00.000+03:00,20,28
10800000,1781310240000,2026-06-13T03:24:00.000+03:00,16,29
10800000,1781310420000,2026-06-13T03:27:00.000+03:00,24,29
10800000,1781310600000,2026-06-13T03:30:00.000+03:00,18,29
10800000,1781310780000,2026-06-13T03:33:00.000+03:00,17,30
10800000,1781310960000,2026-06-13T03:36:00.000+03:00,17,31
10800000,1781311140000,2026-06-13T03:39:00.000+03:00,16,31
10800000,1781311320000,2026-06-13T03:42:00.000+03:00,15,33
10800000,1781311500000,2026-06-13T03:45:00.000+03:00,21,33
10800000,1781311680000,2026-06-13T03:48:00.000+03:00,19,33
10800000,1781311860000,2026-06-13T03:51:00.000+03:00,20,34
10800000,1781312040000,2026-06-13T03:54:00.000+03:00,25,34
10800000,1781312220000,2026-06-13T03:57:00.000+03:00,23,34
10800000,1781312400000,2026-06-13T04:00:00.000+03:00,25,34
10800000,1781312580000,2026-06-13T04:03:00.000+03:00,24,35
10800000,1781312760000,2026-06-13T04:06:00.000+03:00,25,35
10800000,1781312940000,2026-06-13T04:09:00.000+03:00,25,35
10800000,1781313120000,2026-06-13T04:12:00.000+03:00,25,36
10800000,1781313300000,2026-06-13T04:15:00.000+03:00,25,36
