Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
d7934d1c-460d-4580-b14a-273638afa65a,MS Daily Compass Project,7ccc3155-f88f-4033-9e89-6656bb8a8703,jheel

timezoneOffsetInMs,unixTimestampInMs,isoDate,stressLevel,bodyBattery
10800000,1780796160000,2026-06-07T04:36:00.000+03:00,24,51
10800000,1780796340000,2026-06-07T04:39:00.000+03:00,22,52
10800000,1780796520000,2026-06-07T04:42:00.000+03:00,23,52
10800000,1780796700000,2026-06-07T04:45:00.000+03:00,22,52
10800000,1780796880000,2026-06-07T04:48:00.000+03:00,24,52
10800000,1780797060000,2026-06-07T04:51:00.000+03:00,22,52
10800000,1780797240000,2026-06-07T04:54:00.000+03:00,22,53
10800000,1780797420000,2026-06-07T04:57:00.000+03:00,22,54
10800000,1780797600000,2026-06-07T05:00:00.000+03:00,10,54
10800000,1780797780000,2026-06-07T05:03:00.000+03:00,16,54
10800000,1780797960000,2026-06-07T05:06:00.000+03:00,24,55
10800000,1780798140000,2026-06-07T05:09:00.000+03:00,25,55
10800000,1780798320000,2026-06-07T05:12:00.000+03:00,27,55
10800000,1780798500000,2026-06-07T05:15:00.000+03:00,26,55
10800000,1780798680000,2026-06-07T05:18:00.000+03:00,25,55
10800000,1780798860000,2026-06-07T05:21:00.000+03:00,19,56
10800000,1780799040000,2026-06-07T05:24:00.000+03:00,24,56
10800000,1780799220000,2026-06-07T05:27:00.000+03:00,19,56
10800000,1780799400000,2026-06-07T05:30:00.000+03:00,17,56
10800000,1780799580000,2026-06-07T05:33:00.000+03:00,21,57
10800000,1780799760000,2026-06-07T05:36:00.000+03:00,-1,57
10800000,1780799940000,2026-06-07T05:39:00.000+03:00,43,57
10800000,1780800120000,2026-06-07T05:42:00.000+03:00,20,57
10800000,1780800300000,2026-06-07T05:45:00.000+03:00,11,57
10800000,1780800480000,2026-06-07T05:48:00.000+03:00,7,57
10800000,1780800660000,2026-06-07T05:51:00.000+03:00,15,57
10800000,1780800840000,2026-06-07T05:54:00.000+03:00,14,57
10800000,1780801020000,2026-06-07T05:57:00.000+03:00,15,58
10800000,1780801200000,2026-06-07T06:00:00.000+03:00,15,58
10800000,1780801380000,2026-06-07T06:03:00.000+03:00,13,59
10800000,1780801560000,2026-06-07T06:06:00.000+03:00,14,59
10800000,1780801740000,2026-06-07T06:09:00.000+03:00,15,59
10800000,1780801920000,2026-06-07T06:12:00.000+03:00,16,60
10800000,1780802100000,2026-06-07T06:15:00.000+03:00,9,60
10800000,1780802280000,2026-06-07T06:18:00.000+03:00,-2,61
10800000,1780802460000,2026-06-07T06:21:00.000+03:00,-2,61
10800000,1780802640000,2026-06-07T06:24:00.000+03:00,10,61
