Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
d7934d1c-460d-4580-b14a-273638afa65a,MS Daily Compass Project,7ccc3155-f88f-4033-9e89-6656bb8a8703,jheel

timezoneOffsetInMs,unixTimestampInMs,isoDate,durationInMs,activityType,activeTimeInMs,steps,distanceInMeters,activeKilocalories,met,intensity,meanMotionIntensity,maxMotionIntensity
10800000,1781557200000,2026-06-16T00:00:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,3
10800000,1781558100000,2026-06-16T00:15:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,3
10800000,1781559000000,2026-06-16T00:30:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
10800000,1781559900000,2026-06-16T00:45:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,2
10800000,1781560800000,2026-06-16T01:00:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,2
10800000,1781561700000,2026-06-16T01:15:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,3
10800000,1781562600000,2026-06-16T01:30:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,3
10800000,1781563500000,2026-06-16T01:45:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,2
10800000,1781564400000,2026-06-16T02:00:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,3
10800000,1781565300000,2026-06-16T02:15:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,3
10800000,1781566200000,2026-06-16T02:30:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,2
10800000,1781567100000,2026-06-16T02:45:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,2
10800000,1781568000000,2026-06-16T03:00:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,2
10800000,1781568900000,2026-06-16T03:15:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,2
10800000,1781569800000,2026-06-16T03:30:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
10800000,1781570700000,2026-06-16T03:45:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
10800000,1781571600000,2026-06-16T04:00:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,3
10800000,1781572500000,2026-06-16T04:15:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,2
10800000,1781573400000,2026-06-16T04:30:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,3
10800000,1781574300000,2026-06-16T04:45:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,2
10800000,1781575200000,2026-06-16T05:00:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
10800000,1781576100000,2026-06-16T05:15:00.000+03:00,900000,WALKING,240000,47,34.5,4,1.7654321,ACTIVE,2,2
10800000,1781576100000,2026-06-16T05:15:00.000+03:00,900000,SEDENTARY,660000,0,0,0,1,SEDENTARY,0,5
10800000,1781577000000,2026-06-16T05:30:00.000+03:00,900000,WALKING,120000,23,16.88,1,1.3827161,ACTIVE,1,1
10800000,1781577000000,2026-06-16T05:30:00.000+03:00,900000,SEDENTARY,780000,0,0,0,1,SEDENTARY,0,5
10800000,1781577900000,2026-06-16T05:45:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,5
10800000,1781578800000,2026-06-16T06:00:00.000+03:00,900000,GENERIC,0,0,0,0,1,SEDENTARY,0,2
10800000,1781578800000,2026-06-16T06:00:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,4
10800000,1781579700000,2026-06-16T06:15:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,3
10800000,1781580600000,2026-06-16T06:30:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,4
10800000,1781581500000,2026-06-16T06:45:00.000+03:00,900000,WALKING,120000,87,63.86,5,2.9135804,ACTIVE,2,2
10800000,1781581500000,2026-06-16T06:45:00.000+03:00,900000,SEDENTARY,780000,0,0,0,1,SEDENTARY,0,5
10800000,1781582400000,2026-06-16T07:00:00.000+03:00,900000,WALKING,300000,176,129.18,10,2.530648,ACTIVE,2,2
10800000,1781582400000,2026-06-16T07:00:00.000+03:00,900000,SEDENTARY,600000,0,0.01,0,1,SEDENTARY,0,5
10800000,1781583300000,2026-06-16T07:15:00.000+03:00,900000,SEDENTARY,302000,0,0,0,1,SEDENTARY,0,5
10800000,1781583300000,2026-06-16T07:15:00.000+03:00,900000,RUNNING,539000,1407,900.95,48,5.0893726,HIGHLY_ACTIVE,3.5547309833024117,4
10800000,1781583300000,2026-06-16T07:15:00.000+03:00,900000,WALKING,59000,32,23.49,0,1,ACTIVE,1,1
10800000,1781584200000,2026-06-16T07:30:00.000+03:00,900000,RUNNING,240000,612,382.41,21,5.0180216,HIGHLY_ACTIVE,3,4
10800000,1781584200000,2026-06-16T07:30:00.000+03:00,900000,WALKING,660000,1671,1014.01,57,4.965839,HIGHLY_ACTIVE,4,4
10800000,1781585100000,2026-06-16T07:45:00.000+03:00,900000,RUNNING,180000,463,281.47,17,5.336912,HIGHLY_ACTIVE,4,4
10800000,1781585100000,2026-06-16T07:45:00.000+03:00,900000,WALKING,720000,1812,1071.04,62,4.9542437,HIGHLY_ACTIVE,4,4
10800000,1781586000000,2026-06-16T08:00:00.000+03:00,900000,RUNNING,60000,133,70.36,4,4.0613494,HIGHLY_ACTIVE,3,3
10800000,1781586000000,2026-06-16T08:00:00.000+03:00,900000,WALKING,840000,2017,1150.81,70,4.8266873,HIGHLY_ACTIVE,4,4
10800000,1781586900000,2026-06-16T08:15:00.000+03:00,900000,WALKING,120000,250,161.25,7,3.6792037,HIGHLY_ACTIVE,3,3
10800000,1781586900000,2026-06-16T08:15:00.000+03:00,900000,GENERIC,0,0,0,3,1,SEDENTARY,0,4
10800000,1781586900000,2026-06-16T08:15:00.000+03:00,900000,SEDENTARY,780000,0,0,4,1.2355344,SEDENTARY,0,5
10800000,1781587800000,2026-06-16T08:30:00.000+03:00,900000,GENERIC,0,0,0,14,1,SEDENTARY,0,5
10800000,1781587800000,2026-06-16T08:30:00.000+03:00,900000,SEDENTARY,780000,0,0,3,1.1766529,SEDENTARY,0,5
10800000,1781587800000,2026-06-16T08:30:00.000+03:00,900000,WALKING,120000,122,89.55,4,2.5309918,ACTIVE,2,2
10800000,1781588700000,2026-06-16T08:45:00.000+03:00,900000,WALKING,300000,94,68.99,13,2.9902892,ACTIVE,2,2
10800000,1781588700000,2026-06-16T08:45:00.000+03:00,900000,GENERIC,0,0,0,7,1,SEDENTARY,0,5
10800000,1781588700000,2026-06-16T08:45:00.000+03:00,900000,SEDENTARY,600000,0,0,0,1,SEDENTARY,0,5
10800000,1781589600000,2026-06-16T09:00:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,0
10800000,1781590500000,2026-06-16T09:15:00.000+03:00,900000,WALKING,120000,45,33.03,2,1.7654958,ACTIVE,2,2
10800000,1781590500000,2026-06-16T09:15:00.000+03:00,900000,SEDENTARY,780000,0,0,0,1,SEDENTARY,0,5
10800000,1781591400000,2026-06-16T09:30:00.000+03:00,900000,WALKING,240000,96,70.47,9,2.7223656,ACTIVE,1.5,2
10800000,1781591400000,2026-06-16T09:30:00.000+03:00,900000,SEDENTARY,660000,0,0,0,1,SEDENTARY,0,5
10800000,1781592300000,2026-06-16T09:45:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,4
10800000,1781593200000,2026-06-16T10:00:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,4
10800000,1781594100000,2026-06-16T10:15:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,4
10800000,1781595000000,2026-06-16T10:30:00.000+03:00,900000,WALKING,60000,49,35.96,3,3.2964876,ACTIVE,1.5,3
10800000,1781595000000,2026-06-16T10:30:00.000+03:00,900000,GENERIC,0,0,0,5,1,SEDENTARY,0,6
10800000,1781595000000,2026-06-16T10:30:00.000+03:00,900000,SEDENTARY,840000,0,0,0,1,SEDENTARY,0,4
10800000,1781595900000,2026-06-16T10:45:00.000+03:00,900000,WALKING,285000,160,117.44,14,3.2561982,ACTIVE,1.1578947368421053,4
10800000,1781595900000,2026-06-16T10:45:00.000+03:00,900000,GENERIC,0,0,0,4,1,SEDENTARY,0,6
10800000,1781595900000,2026-06-16T10:45:00.000+03:00,900000,SEDENTARY,615000,0,0,2,1.1493651,SEDENTARY,0,5
10800000,1781596800000,2026-06-16T11:00:00.000+03:00,900000,WALKING,30000,13,9.55,2,4.0619836,ACTIVE,1,1
10800000,1781596800000,2026-06-16T11:00:00.000+03:00,900000,GENERIC,0,0,0,15,1,SEDENTARY,0,5
10800000,1781596800000,2026-06-16T11:00:00.000+03:00,900000,SEDENTARY,870000,0,0,0,1,SEDENTARY,0,4
10800000,1781597700000,2026-06-16T11:15:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,4
10800000,1781598600000,2026-06-16T11:30:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,4
10800000,1781599500000,2026-06-16T11:45:00.000+03:00,900000,WALKING,120000,26,19.08,3,2.1482437,ACTIVE,2,2
10800000,1781599500000,2026-06-16T11:45:00.000+03:00,900000,SEDENTARY,780000,0,0,0,1,SEDENTARY,0,4
10800000,1781600400000,2026-06-16T12:00:00.000+03:00,900000,SEDENTARY,900000,0,0.01,0,1,SEDENTARY,0,0
10800000,1781601300000,2026-06-16T12:15:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,3
10800000,1781602200000,2026-06-16T12:30:00.000+03:00,900000,SEDENTARY,900000,0,0,0,1,SEDENTARY,0,4
