Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
d7934d1c-460d-4580-b14a-273638afa65a,MS Daily Compass Project,7ccc3155-f88f-4033-9e89-6656bb8a8703,jheel

sleepSummaryId,timezoneOffsetInMs,unixTimestampInMs,isoDate,durationInMs,type
x4b803d3-6a2099cc-5064,10800000,1780521420000,2026-06-04T00:17:00.000+03:00,300000,light
x4b803d3-6a2099cc-5064,10800000,1780521720000,2026-06-04T00:22:00.000+03:00,1260000,deep
x4b803d3-6a2099cc-5064,10800000,1780522980000,2026-06-04T00:43:00.000+03:00,1200000,unmeasurable
x4b803d3-6a2099cc-5064,10800000,1780524180000,2026-06-04T01:03:00.000+03:00,2520000,deep
x4b803d3-6a2099cc-5064,10800000,1780526700000,2026-06-04T01:45:00.000+03:00,1140000,light
x4b803d3-6a2099cc-5064,10800000,1780527840000,2026-06-04T02:04:00.000+03:00,3780000,deep
x4b803d3-6a2099cc-5064,10800000,1780531620000,2026-06-04T03:07:00.000+03:00,1200000,light
x4b803d3-6a2099cc-5064,10800000,1780532820000,2026-06-04T03:27:00.000+03:00,1260000,deep
x4b803d3-6a2099cc-5064,10800000,1780534080000,2026-06-04T03:48:00.000+03:00,1140000,light
x4b803d3-6a2099cc-5064,10800000,1780535220000,2026-06-04T04:07:00.000+03:00,60000,rem
x4b803d3-6a2099cc-5064,10800000,1780535280000,2026-06-04T04:08:00.000+03:00,2280000,light
x4b803d3-6a2099cc-5064,10800000,1780537560000,2026-06-04T04:46:00.000+03:00,360000,deep
x4b803d3-6a2099cc-5064,10800000,1780537920000,2026-06-04T04:52:00.000+03:00,540000,light
x4b803d3-6a2099cc-5064,10800000,1780538460000,2026-06-04T05:01:00.000+03:00,120000,rem
x4b803d3-6a2099cc-5064,10800000,1780538580000,2026-06-04T05:03:00.000+03:00,60000,awake
x4b803d3-6a2099cc-5064,10800000,1780538640000,2026-06-04T05:04:00.000+03:00,60000,rem
x4b803d3-6a2099cc-5064,10800000,1780538700000,2026-06-04T05:05:00.000+03:00,60000,awake
x4b803d3-6a2099cc-5064,10800000,1780538760000,2026-06-04T05:06:00.000+03:00,120000,rem
x4b803d3-6a2099cc-5064,10800000,1780538880000,2026-06-04T05:08:00.000+03:00,120000,awake
x4b803d3-6a2099cc-5064,10800000,1780539000000,2026-06-04T05:10:00.000+03:00,180000,rem
x4b803d3-6a2099cc-5064,10800000,1780539180000,2026-06-04T05:13:00.000+03:00,300000,awake
x4b803d3-6a2099cc-5064,10800000,1780539480000,2026-06-04T05:18:00.000+03:00,60000,rem
x4b803d3-6a2099cc-5064,10800000,1780539540000,2026-06-04T05:19:00.000+03:00,120000,light
x4b803d3-6a2099cc-5064,10800000,1780539660000,2026-06-04T05:21:00.000+03:00,2880000,rem
