Header Length,5
Powered by Labfront
Documentation,https://help.labfront.com/data-documentation
projectId,projectTitle,participantId,participantInsignia
d7934d1c-460d-4580-b14a-273638afa65a,MS Daily Compass Project,7ccc3155-f88f-4033-9e89-6656bb8a8703,jheel

sleepSummaryId,timezoneOffsetInMs,unixTimestampInMs,isoDate,spo2
x4b803d3-6a346970-44ac,10800000,1781823720000,2026-06-19T02:02:00.000+03:00,90
x4b803d3-6a346970-44ac,10800000,1781823780000,2026-06-19T02:03:00.000+03:00,87
x4b803d3-6a346970-44ac,10800000,1781823840000,2026-06-19T02:04:00.000+03:00,90
x4b803d3-6a346970-44ac,10800000,1781823900000,2026-06-19T02:05:00.000+03:00,88
x4b803d3-6a346970-44ac,10800000,1781823960000,2026-06-19T02:06:00.000+03:00,90
x4b803d3-6a346970-44ac,10800000,1781824020000,2026-06-19T02:07:00.000+03:00,89
x4b803d3-6a346970-44ac,10800000,1781824080000,2026-06-19T02:08:00.000+03:00,91
x4b803d3-6a346970-44ac,10800000,1781824140000,2026-06-19T02:09:00.000+03:00,86
x4b803d3-6a346970-44ac,10800000,1781824200000,2026-06-19T02:10:00.000+03:00,88
x4b803d3-6a346970-44ac,10800000,1781824260000,2026-06-19T02:11:00.000+03:00,89
x4b803d3-6a346970-44ac,10800000,1781824320000,2026-06-19T02:12:00.000+03:00,90
x4b803d3-6a346970-44ac,10800000,1781824380000,2026-06-19T02:13:00.000+03:00,88
x4b803d3-6a346970-44ac,10800000,1781824440000,2026-06-19T02:14:00.000+03:00,88
x4b803d3-6a346970-44ac,10800000,1781824500000,2026-06-19T02:15:00.000+03:00,88
x4b803d3-6a346970-44ac,10800000,1781824560000,2026-06-19T02:16:00.000+03:00,90
x4b803d3-6a346970-44ac,10800000,1781824620000,2026-06-19T02:17:00.000+03:00,88
x4b803d3-6a346970-44ac,10800000,1781824680000,2026-06-19T02:18:00.000+03:00,88
x4b803d3-6a346970-44ac,10800000,1781824740000,2026-06-19T02:19:00.000+03:00,89
x4b803d3-6a346970-44ac,10800000,1781824800000,2026-06-19T02:20:00.000+03:00,89
x4b803d3-6a346970-44ac,10800000,1781824860000,2026-06-19T02:21:00.000+03:00,89
